Category,reg_id,type,Q.Num,Q,A,reference
Kehutanan,UU_2006_16,Q6,1,"Apa asas penyelenggaraan penyuluhan pertanian, perikanan, kehutanan.","demokrasi, manfaat, kesetaraan, keterpaduan, keseimbangan, keterbukaan, kerja sama, partisipatif, kemitraan, berkelanjutan, perkeadilan, pemerataan, dan bertanggung gugat",Pasal 2
Kehutanan,UU_2006_16,Q6,2,"Apakah fungsi sistem penyuluhan pertanian, perikanan, dan kehutanan?","1. memfasilitasi proses pembelajaran pelaku utama dan pelaku usaha;
2. mengupayakan kemudahan akses pelaku utama dan pelaku usaha ke sumber informasi, teknologi, dan sumber daya lainnya agar mereka dapat mengembangkan usahanya; 
3. meningkatkan kemampuan kepemimpinan, manajerial, dan kewirausahaan pelaku utama dan pelaku usaha; 
4. membantu pelaku utama dan pelaku usaha dalam menumbuhkembangkan organisasinya menjadi organisasi ekonomi yang berdaya saing tinggi, produktif, menerapkan tata kelola berusaha yang baik, dan berkelanjutan;
5. membantu menganalisis dan memecahkan masalah serta merespon peluang dan tantangan yang dihadapi pelaku utama dan pelaku usaha dalam mengelola usaha;
6. menumbuhkan kesadaran pelaku utama dan pelaku usaha terhadap kelestarian fungsi lingkungan; dan
7. melembagakan nilai-nilai budaya pembangunan pertanian, perikanan, dan kehutanan yang maju dan modern bagi pelaku utama secara berkelanjutan.",Pasal 4
Kehutanan,UU_2006_16,Q6,3,"Siapa yang dapat melakukan kegiatan penyuluhan pertanian, perikanan, kehutanan?","penyuluh PNS, penyuluh swasta, dan/atau penyuluh swadaya",Pasal 20 ayat 1
Kehutanan,UU_2006_16,Q6,4,Apa pendekatan yang digunakan dalam melakukan penyuluhan?,pendekatan partisipatif melalui mekanisme kerja dan metode yang disesuaikan dengan kebutuhan serta kondisi pelaku utama dan pelaku usaha.,Pasal 26 ayat 3
Kehutanan,UU_2006_16,Q6,5,"Apakah orang yang melakukan penyuluhan pertanian, perikanan, kehutanan yang menimbulkan kerugian sosial ekonomi dapat dipidana?",Ya,Pasal 36
Kehutanan,PERMEN_HUT_2014_59,Q6,1,Siapa yang menyelenggarakan sistem informasi diklat kehutanan?,"1. Pusat Pendidikan dan Pelatihan Kehutanan;
2. Balai Diklat Kehutanan;
3. Sekolah Menengah Kejuruan Kehutanan Negeri.",Pasal 4 ayat 1
Kehutanan,PERMEN_HUT_2014_59,Q6,2,Apa yang wajib dilakukan dalam menyelenggaran sistem informasi diklat kehutanan?,"1. menyediakan, memberikan, dan/atau menerbitkan informasi diklat kehutanan yang sesuai dengan kewenangannya kepada pengguna
2. menyediakan sarana dan prasarana pendukung penyelenggaraan sistem informasi diklat kehutanan;
3. menetapkan petugas pengelola;
4. menyediakan anggaran penyelenggaraan sistem informasi diklat Kehutanan.",Pasal 5 ayat 1
Kehutanan,PERMEN_HUT_2014_59,Q6,3,Kepada siapa penyelengara yang menyelenggarakan sistem informasi diklat kehutanan bertanggung jawab?,Kepala Badan Penyuluhan dan Pengembangan Sumber Daya Manusia Kehutanan,Pasal 5 ayat 2
Kehutanan,PERMEN_HUT_2014_59,Q6,4,Bagaimana cara memperoleh Pelayanan informasi diklat?,"melalui:
1. permohonan;
2. situs (website) Pusat Diklat Kehutanan dan situs (website) Badan Penyuluhan Dan Pengembangan SDM Kehutanan;
3. situs (website) Kementerian Kehutanan.",Pasal 33
Kehutanan,PERMEN_HUT_2014_59,Q6,5,Kapan Pusat Pendidikan dan Pelatihan Kehutanan melaksanakan evaluasi pelaksanaan layanan informasi diklat?,Setiap semester,Pasal 41 ayat 1
Kehutanan,PERMEN_HUT_2014_25,Q6,1,Siapa yang membentuk panitia tata batas Kawasan hutan?,Direktur Jenderal atas nama menteri,Pasal 2 ayat 1
Kehutanan,PERMEN_HUT_2014_25,Q6,2,Apa tugas panitia tata batas Kawasan hutan?,"1. menilai rencana trayek batas;
2. menilai hasil identifikasi dan inventarisasi hak-hak pihak ketiga;
3. menilai peta hasil tata batas.
4. menilai peta kerja tata batas;",Pasal 5
Kehutanan,PERMEN_HUT_2014_25,Q6,3,Berapa orang yang harus menandatangani berita acara tata batas dan peta tata batas agar dokumen tata batas agar dapat diproses?,tiga orang,Pasal 7 ayat 1
Kehutanan,PERMEN_HUT_2014_25,Q6,4,Kapan Direktur jenderal dokumen tata batas,lima belas hari kerja sejak diterimanya dokumen tata batas,Pasal 7 ayat 3
Kehutanan,PERMEN_HUT_2014_25,Q6,5,Apa saja unsur Anggota Panitia Tata Batas Kawasan Hutan?,"1. Dinas Kabupaten/Kota yang membidangi kehutanan sebagai sekretaris merangkap anggota untuk kawasan hutan produksi dan kawasan hutan lindung, atau Unit Pelaksana Teknis yang menangani urusan kawasan hutan konservasi sebagai sekretaris merangkap anggota untuk kawasan hutan konservasi;
2. Dinas Provinsi yang membidangi kehutanan;
3. Badan Perencanaan Pembangunan Daerah Kabupaten/Kota;
4. Kantor Pertanahan Kabupaten/Kota;
5. Unit Pelaksana Teknis lingkup Kementerian Kehutanan terkait;
6. Perum Perhutani apabila kawasan hutan merupakan wilayah kerja Perum Perhutani; dan
7. Camat setempat.",Pasal 8
Kehutanan,PERMEN_HUT_2014_26,Q6,1,Siapa yang melaksanakan evaluasi AKIP unit kerja di lingkungnan kementerian kehutanan?,Inspektorat jenderal,Pasal 2 ayat 1
Kehutanan,PERMEN_HUT_2014_26,Q6,2,Bagaimana hasil evaluasi AKIP dituangkan?,Dalam bentuk laporan hasil evaluasi,Pasal 2 ayat 4
Kehutanan,PERMEN_HUT_2014_26,Q6,3,Dimana rencana kegiatan evaluasi akip dituangkan?,Program kerja pengawasan tahunan,Pasal 2 ayat 5
Kehutanan,PERMEN_HUT_2014_26,Q6,4,Kepada siapa laporan hasil evaluasi AKIP disampaikan?,Pimpinan Instansi yang dievaluasi dengan tembusan kepada Menteri Kehutanan,Pasal 3
Kehutanan,PERMEN_HUT_2014_26,Q6,5,Apa saja yang meliputi evaluasi AKIP?,"1. metodologi evaluasi;
2. teknik evaluasi dan teknik analisis data;
3. kertas kerja evaluasi; dan
4. pelaksanaan evaluasi.",Pasal 5 ayat 1
